matricula,mediaNotas,menorNota,maiorNota,quantidadeDisciplinasCursadas,quantidadeAprovacoes,quantidadeReprovacoes,mediaAprovadas,mediaReprovadas,cargaHorariaPassada,taxaDeSucesso,semestrePassado,anosMatriculado,menorNota_cat,maiorNota_cat,mediaNotas_cat,mediaAprovadas_cat,mediaReprovadas_cat,cargaHorariaPassada_cat
2010041739,2.65,0.0,7.3,4,1,3,7.3,1.0999999999999999,250.0,0.25,2015.1,5,baixa,alta,baixa,alta,baixa,baixa
2010041771,7.483333333333334,5.7,9.5,6,6,0,7.483333333333334,0.0,360.0,1.0,2015.1,5,media,alta,alta,alta,baixa,media
2010041852,6.114285714285715,5.0,7.8,7,7,0,6.114285714285715,0.0,375.0,1.0,2015.1,5,media,alta,media,media,baixa,media
2010042107,3.0799999999999996,0.0,7.6,5,2,3,6.3,0.9333333333333335,290.0,0.4,2015.1,5,baixa,alta,baixa,media,baixa,media
2010042166,2.8999999999999995,0.0,6.3,4,2,2,5.699999999999999,0.1,270.0,0.5,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010042182,7.25,5.0,8.3,4,4,0,7.25,0.0,240.0,1.0,2015.1,5,media,alta,alta,alta,baixa,baixa
2010042239,7.033333333333334,5.1,9.3,3,3,0,7.033333333333334,0.0,210.0,1.0,2015.1,5,media,alta,alta,alta,baixa,baixa
2010042476,5.5,1.5,7.7,3,2,1,7.5,1.5,180.0,0.6666666666666666,2015.1,5,baixa,alta,media,alta,baixa,baixa
2010042573,2.625,0.0,5.1,4,1,3,5.1,1.8,210.0,0.25,2015.1,5,baixa,media,baixa,media,baixa,baixa
2010042603,3.56,0.0,6.0,5,3,2,5.433333333333334,0.75,310.0,0.6,2015.1,5,baixa,media,baixa,media,baixa,media
2010042700,6.5200000000000005,5.0,8.2,5,5,0,6.5200000000000005,0.0,270.0,1.0,2015.1,5,media,alta,media,media,baixa,baixa
2010042727,5.3999999999999995,4.8,6.7,4,3,1,5.6000000000000005,4.8,240.0,0.75,2015.1,5,baixa,media,media,media,baixa,baixa
2010042778,1.9333333333333333,0.0,4.5,3,0,3,0.0,1.9333333333333333,180.0,0.0,2015.1,5,baixa,baixa,baixa,baixa,baixa,baixa
2010042794,5.433333333333333,5.0,6.3,6,6,0,5.433333333333333,0.0,390.0,1.0,2015.1,5,media,media,media,media,baixa,media
2010042840,6.844444444444445,3.5,9.1,9,8,1,7.2625,3.5,450.0,0.8888888888888888,2015.1,5,baixa,alta,media,alta,baixa,alta
2010042883,2.9166666666666665,0.0,6.8,6,2,4,6.75,1.0,370.0,0.3333333333333333,2015.1,5,baixa,media,baixa,media,baixa,media
2010042891,3.2,0.0,7.7,4,2,2,6.4,0.0,180.0,0.5,2015.1,5,baixa,alta,baixa,media,baixa,baixa
2010042921,7.057142857142858,5.0,8.8,7,7,0,7.057142857142858,0.0,420.0,1.0,2015.1,5,media,alta,alta,alta,baixa,alta
2010042930,2.185714285714286,0.0,7.3,7,1,6,7.3,1.3333333333333333,440.0,0.14285714285714285,2015.1,5,baixa,alta,baixa,alta,baixa,alta
2010043006,6.485714285714287,4.0,9.7,7,6,1,6.8999999999999995,4.0,425.0,0.8571428571428571,2015.1,5,baixa,alta,media,media,baixa,alta
2010043014,6.4,5.3,7.8,4,4,0,6.4,0.0,240.0,1.0,2015.1,5,media,alta,media,media,baixa,baixa
2010043090,7.357142857142857,5.7,9.8,7,7,0,7.357142857142857,0.0,420.0,1.0,2015.1,5,media,alta,alta,alta,baixa,alta
2010043154,5.071428571428571,1.3,7.4,7,5,2,6.160000000000001,2.35,390.0,0.7142857142857143,2015.1,5,baixa,alta,media,media,baixa,media
2010043294,6.35,6.2,6.5,2,2,0,6.35,0.0,120.0,1.0,2015.1,5,media,media,media,media,baixa,baixa
2010043324,6.15,5.4,7.7,4,4,0,6.15,0.0,240.0,1.0,2015.1,5,media,alta,media,media,baixa,baixa
